"Continent","Android","Unknown","Windows","iOS","Linux","OS X","macOS","Chrome OS","Samsung"
Gibraltar ,16.49,4.13,38.33,26.05,0,8.84,5.42,0,0
French Guiana ,39.32,6.83,27.35,19.05,0,4.34,1.72,0,0
Cape Verde ,36.13,8.56,26.93,18.14,1.66,4.44,3.47,0,0
Solomon Islands ,49.52,15.03,27.44,5.78,0,0,0,0,0
Grenada ,31.03,6.28,30.27,18.44,0,5.56,6.85,0,0
Cook Islands ,24.74,6.52,35.59,28.81,0,2.28,1.4,0,0
Saint Kitts and Nevis ,33.92,6.12,29.5,20.13,1.13,4.73,3.72,0,0
British Virgin Islands ,18.07,5.92,29.57,38.67,0,5.68,1.5,0,0
Central African Republic ,58.19,21.51,14.42,3.72,0,0,1.09,0,0
Saint Vincent and the Grenadines ,31.02,12.72,31.23,12.22,1.06,6.45,3.93,0,0
Comoros ,63.54,10.23,12.32,5.62,0,3.26,3.39,0,0
Turks and Caicos Islands ,22.94,3.35,19.54,38.15,0,9.94,2.27,3.11,0
Dominica ,37.37,15.34,23.46,11.97,1.03,3.59,4.58,2.5,0
Vanuatu ,50.69,10.64,25.27,9.54,0,1.23,1.68,0,0
Northern Mariana Islands ,23.19,3.97,45.05,19.62,0,4,2.51,1.11,0
San Marino ,14.45,2.43,27.14,11.4,0,3.22,3.34,0,37.55
Mayotte ,48.01,13.3,21.6,10.78,1.74,2.99,1.27,0,0
Greenland ,23.13,4.39,32.71,25.42,0,11.06,2.08,0,0
Saint Martin ,20.82,4.45,9.75,49.02,0,14.79,0,0,0
Samoa ,50.99,10.82,22.82,9.26,1.08,3.43,0,0,0
Marshall Islands ,16.47,3.83,57.37,14.62,0,4.33,2.78,0,0
Sao Tome and Principe ,51.32,21.94,17.69,7.04,0,1.07,0,0,0
Anguilla ,16.26,5.62,25.38,38.22,0,10.51,2.54,0,0
Kiribati ,42.62,33.43,16.56,3.19,1.59,0,0,0,1.43
Turkmenistan ,35.85,5.33,49.63,6.34,1.3,0,0,0,0
Tonga ,32.28,5.55,41.26,17.47,0,1.57,0,0,0
Palau ,45.11,5.97,17.17,23.97,1.82,3.19,1.53,1.15,0
Micronesia ,40.16,11.44,26.55,12.34,0,5.1,3.18,0,0
Saint Pierre and Miquelon ,15.11,0,22.67,32.1,0,27.94,0,0,0
Eritrea ,9.1,1.95,76.43,3.1,8.61,0,0,0,0
Saint Barthelemy ,7.42,0,9.28,53.91,0,25.29,3.42,0,0
Holy See (Vatican City State) ,15.98,1.19,65.19,7.99,0,5.49,3.51,0,0
Nauru ,60.02,9.62,12.05,15.73,1.92,0,0,0,0
Montserrat ,14.88,4.64,45.98,10.21,1.76,20.97,1.53,0,0
Falkland Islands (Malvinas) ,43.41,7.06,26.69,15.36,0,6.41,0,0,0
Wallis and Futuna ,40.98,1.84,6.52,34.11,0,16.5,0,0,0
Tuvalu ,25.27,5.94,53.68,13.29,0,0,0,0,0
Tokelau ,2.38,0,4.3,77.12,0,16.19,0,0,0
Norfolk Island ,34.43,1.32,8.11,49.12,0,1.75,5.26,0,0
Saint Helena ,14.39,6.47,66.19,12.23,0,0,0,0,0
Niue ,35.81,2.62,39.74,20.52,0,1.31,0,0,0
North Korea ,16.33,4.08,30.61,48.98,0,0,0,0,0
Svalbard & Jan Mayen Islands ,6.9,0,27.59,65.52,0,0,0,0,0
Pitcairn Islands ,80,0,10,10,0,0,0,0,0
Western Sahara ,0,0,100,0,0,0,0,0,0
South Georgia and the South Sandwich Islands ,0,0,50,50,0,0,0,0,0
